Designator,Mid X,Mid Y,Layer,Rotation
U$10,1.9mm,44.2mm,T,0
U$11,0.4mm,34.7mm,T,90
U$12,0.4mm,27mm,T,90
U$13,0.4mm,17.4mm,T,90
U1,12.577mm,25mm,T,0
U2,7.4969875mm,37.573mm,T,90
U3,5.9438625mm,10.41451875mm,T,180
U4,39.12mm,25mm,T,270
U5,30.738mm,19.158mm,T,270
U6,30.738mm,30.842mm,T,90
U7,41.8518mm,29.9572mm,T,180
U8,41.9352mm,18.992mm,T,270
